City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,ponta do sol,PT,67.01,scattered clouds,32.67,-17.1,Hotel do Campo
3,kloulklubed,PW,78.8,moderate rain,7.04,134.26,Storyboard Beach Resort
6,bluff,NZ,73.8,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
7,busselton,AU,61.05,few clouds,-33.65,115.33,Observatory Guest House
8,bubaque,GW,78.64,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
9,caravelas,BR,80.01,broken clouds,-17.71,-39.25,Pousada dos Navegantes
11,ambilobe,MG,73.65,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
13,port hedland,AU,80.65,overcast clouds,-20.32,118.57,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
18,mana,GF,79.77,overcast clouds,5.66,-53.78,LE SAMANA
19,nouadhibou,MR,67.03,overcast clouds,20.93,-17.03,El Medina
21,kapaa,US,78.12,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
22,rikitea,PF,78.21,overcast clouds,-23.12,-134.97,People ThankYou
23,mangrol,IN,69.48,clear sky,21.12,70.12,Hotel The Royal Honours
24,salalah,OM,68.65,few clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
26,hilo,US,77.25,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
32,atuona,PF,78.57,few clouds,-9.8,-139.03,Villa Enata
34,saint-philippe,RE,81.95,moderate rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
35,kisangani,CD,72.81,overcast clouds,0.52,25.2,Grand Ramela Hotel
38,port alfred,ZA,77.23,overcast clouds,-33.59,26.89,The Halyards Hotel
40,nishihara,JP,61.88,overcast clouds,26.18,127.76,Minshuku Agaihama
42,victoria,HK,61.25,overcast clouds,22.29,114.16,Mini Hotel Central
43,yenagoa,NG,79.03,scattered clouds,4.92,6.26,Amba Hotels Limited
44,faanui,PF,80.53,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,bandarbeyla,SO,76.08,broken clouds,9.49,50.81,JABIR HOTEL
46,dingle,PH,73.27,broken clouds,11.0,122.67,SEGAYA PROPERTY
49,adelaide,AU,60.42,clear sky,-34.93,138.6,The Chancellor on Currie
50,san patricio,US,76.53,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
52,khipro,PK,68.9,clear sky,25.83,69.38,Achro Thar Guest House
54,cidreira,BR,74.32,clear sky,-30.18,-50.21,Hotel Castelo
55,puerto ayora,EC,76.55,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
59,san quintin,MX,61.56,broken clouds,30.48,-115.95,Don Eddie's Landing
60,salinas,US,61.36,clear sky,36.68,-121.66,Laurel Inn & Conference Center
61,kaitangata,NZ,63.39,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
62,cape town,ZA,70.12,broken clouds,-33.93,18.42,Southern Sun Cape Sun
68,mataura,NZ,73.47,overcast clouds,-46.19,168.86,Ellie's Villa
70,talcahuano,CL,63.43,clear sky,-36.72,-73.12,departamento comodo
72,hermanus,ZA,69.91,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
74,namibe,AO,73.13,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
75,lebu,CL,64.31,clear sky,-37.62,-73.65,Hostal Las Lilas
81,castro,BR,75.72,clear sky,-24.79,-50.01,CHACARA BAILLY
83,tarakan,ID,79.12,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
88,pacifica,US,62.78,clear sky,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
89,dire dawa,ET,66.11,scattered clouds,9.59,41.87,Samrat Hotel
90,allapalli,IN,60.67,clear sky,19.42,80.07,"Hotel IK Residency, GUEST HOUSE AC NON AC"
92,te anau,NZ,66.49,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
96,butaritari,KI,81.55,broken clouds,3.07,172.79,Isles Sunset Lodge
106,arraial do cabo,BR,78.76,broken clouds,-22.97,-42.03,Pousada Porto Praia
109,port-gentil,GA,80.67,light rain,-0.72,8.78,Fengshui Residence
110,sindang,ID,70.23,overcast clouds,-7.0,108.33,Pondok Pesantren Misbahul Huda An-Nur
112,pangai,TO,80.22,clear sky,-19.8,-174.35,Ha'apai Beach Resort
113,vikindu,TZ,76.55,scattered clouds,-7.01,39.3,Baba Ekandumi home
115,sungaipenuh,ID,62.42,overcast clouds,-2.08,101.38,penginapan citra alam
116,kahului,US,79.86,clear sky,20.89,-156.47,Maui Seaside Hotel
117,aguimes,ES,68.67,few clouds,27.91,-15.45,Hotel Villa de Aguimes
118,arlit,NE,64.71,clear sky,18.74,7.39,Hôtel Telwa Bungalow
120,alice springs,AU,71.15,moderate rain,-23.7,133.88,Desert Palms Alice Springs
123,lere,NG,66.4,clear sky,10.39,8.57,
125,merauke,ID,75.13,light rain,-8.47,140.33,
126,itarema,BR,80.71,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
130,bengkulu,ID,73.81,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
134,east london,ZA,75.81,overcast clouds,-33.02,27.91,Tu Casa
137,rajpur,IN,66.2,clear sky,22.3,74.35,YS Pawar Villa
141,tessalit,ML,68.65,overcast clouds,20.2,1.01,
146,vanimo,PG,76.53,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
148,touros,BR,81.43,broken clouds,-5.2,-35.46,INN NEW HORIZON
150,huarmey,PE,75.04,overcast clouds,-10.07,-78.15,Hotel Miramar
153,kieta,PG,80.96,overcast clouds,-6.22,155.63,Uruna Bay Retreat
154,kruisfontein,ZA,74.88,overcast clouds,-34.0,24.73,Oyster Bay House Rental
155,kabo,CF,72.63,clear sky,7.7,18.63,
161,hobyo,SO,77.79,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
162,port macquarie,AU,77.9,overcast clouds,-31.43,152.92,Rydges Port Macquarie
163,cabo san lucas,MX,76.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
165,moree,AU,78.06,overcast clouds,-29.47,149.85,Molika Springs Motel
166,kalmunai,LK,73.09,clear sky,7.42,81.82,VS Villa
169,guaymas,MX,69.89,broken clouds,27.93,-110.9,Hotel Armida
175,teknaf,BD,61.7,clear sky,20.86,92.31,Shilbania para
181,palmares,BR,79.86,scattered clouds,-8.68,-35.59,Destak Hotel Residence
187,chuy,UY,71.35,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
188,basco,PH,73.71,overcast clouds,20.45,121.97,Nathaniel's Lodge
189,sola,VU,81.05,overcast clouds,-13.88,167.55,Ulkel Guest House
190,saldanha,ZA,65.03,scattered clouds,-33.01,17.94,Blue Bay Lodge
191,fare,PF,80.69,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
192,atar,MR,77.92,broken clouds,20.52,-13.05,Oumou Elghoura
