,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,albany,US,42.60,-73.97,35.62,52,42,1.99,scattered clouds
1,ponta do sol,PT,32.67,-17.10,67.01,72,48,11.81,scattered clouds
2,punta arenas,CL,-53.15,-70.92,51.12,50,57,26.22,broken clouds
3,kloulklubed,PW,7.04,134.26,78.8,82,100,16.91,moderate rain
4,qaanaaq,GL,77.48,-69.36,-18.27,73,100,11.88,overcast clouds
5,dikson,RU,73.51,80.55,3.94,93,100,18.3,overcast clouds
6,bluff,NZ,-46.60,168.33,73.8,71,100,13.18,overcast clouds
7,busselton,AU,-33.65,115.33,61.05,67,21,18.28,few clouds
8,bubaque,GW,11.28,-15.83,78.64,79,4,14.81,clear sky
9,caravelas,BR,-17.71,-39.25,80.01,82,63,8.16,broken clouds
10,winnemucca,US,40.97,-117.74,35.65,30,0,8.05,clear sky
11,ambilobe,MG,-13.20,49.05,73.65,96,100,1.63,moderate rain
12,bethel,US,41.37,-73.41,36.05,64,79,4.0,light rain
13,port hedland,AU,-20.32,118.57,80.65,100,100,0.0,overcast clouds
14,nyandoma,RU,61.67,40.20,12.0,97,100,3.74,overcast clouds
15,kovdor,RU,67.57,30.48,3.04,99,100,2.89,overcast clouds
16,orsha,BY,54.52,30.41,20.07,95,100,10.49,overcast clouds
17,krasnokamensk,RU,50.10,118.04,-19.26,96,38,3.98,scattered clouds
18,mana,GF,5.66,-53.78,79.77,77,93,11.36,overcast clouds
19,nouadhibou,MR,20.93,-17.03,67.03,77,91,13.76,overcast clouds
20,new norfolk,AU,-42.78,147.06,53.71,56,8,1.99,clear sky
21,kapaa,US,22.08,-159.32,78.12,69,58,1.99,broken clouds
22,rikitea,PF,-23.12,-134.97,78.21,70,91,5.97,overcast clouds
23,mangrol,IN,21.12,70.12,69.48,66,3,7.49,clear sky
24,salalah,OM,17.02,54.09,68.65,58,22,2.26,few clouds
25,nouakchott,MR,18.09,-15.98,84.13,23,80,12.5,broken clouds
26,hilo,US,19.73,-155.09,77.25,75,57,4.0,broken clouds
27,kodiak,US,57.79,-152.41,38.71,100,100,11.5,light rain
28,vaini,TO,-21.20,-175.20,82.56,78,75,4.61,broken clouds
29,bathsheba,BB,13.22,-59.52,84.81,61,20,14.97,few clouds
30,ribeira grande,PT,38.52,-28.70,59.4,77,20,10.36,few clouds
31,fairbanks,US,64.84,-147.72,-4.4,80,5,1.45,clear sky
32,atuona,PF,-9.80,-139.03,78.57,70,17,21.61,few clouds
33,upernavik,GL,72.79,-56.15,-15.21,73,100,6.78,overcast clouds
34,saint-philippe,RE,-21.36,55.77,81.95,91,96,21.39,moderate rain
35,kisangani,CD,0.52,25.20,72.81,69,99,2.59,overcast clouds
36,kushima,JP,31.46,131.23,38.19,71,84,6.15,broken clouds
37,torbay,CA,47.67,-52.73,25.39,61,66,5.01,broken clouds
38,port alfred,ZA,-33.59,26.89,77.23,82,100,9.15,overcast clouds
39,cherskiy,RU,68.75,161.30,-6.02,80,82,3.36,broken clouds
40,nishihara,JP,26.18,127.76,61.88,82,92,10.36,overcast clouds
41,punta de piedra,VE,7.62,-71.49,94.3,24,74,6.4,broken clouds
42,victoria,HK,22.29,114.16,61.25,91,100,1.01,overcast clouds
43,yenagoa,NG,4.92,6.26,79.03,64,45,5.88,scattered clouds
44,faanui,PF,-16.48,-151.75,80.53,76,9,19.35,light rain
45,bandarbeyla,SO,9.49,50.81,76.08,76,54,15.64,broken clouds
46,dingle,PH,11.00,122.67,73.27,94,81,7.67,broken clouds
47,bulgan,MN,48.81,103.53,-8.72,86,22,4.27,few clouds
48,kargasok,RU,59.06,80.86,19.2,95,100,8.37,overcast clouds
49,adelaide,AU,-34.93,138.60,60.42,55,0,1.01,clear sky
50,san patricio,US,28.02,-97.52,76.53,47,5,1.7,clear sky
51,abalak,RU,58.13,68.59,7.72,97,85,5.53,overcast clouds
52,khipro,PK,25.83,69.38,68.9,29,0,7.78,clear sky
53,longyearbyen,SJ,78.22,15.64,22.84,58,75,4.61,broken clouds
54,cidreira,BR,-30.18,-50.21,74.32,67,8,9.28,clear sky
55,puerto ayora,EC,-0.74,-90.35,76.55,92,76,4.0,broken clouds
56,pontiac,US,42.64,-83.29,46.42,49,0,9.22,clear sky
57,acapulco,MX,16.86,-99.89,82.58,58,1,11.74,clear sky
58,aklavik,CA,68.22,-135.01,-10.48,97,100,2.64,overcast clouds
59,san quintin,MX,30.48,-115.95,61.56,65,58,12.03,broken clouds
60,salinas,US,36.68,-121.66,61.36,35,0,7.85,clear sky
61,kaitangata,NZ,-46.28,169.85,63.39,88,100,4.54,overcast clouds
62,cape town,ZA,-33.93,18.42,70.12,83,53,7.36,broken clouds
63,komsomolskiy,UZ,40.43,71.72,31.42,53,100,3.27,overcast clouds
64,svetlyy,RU,54.67,20.13,32.05,98,100,14.0,snow
65,thompson,CA,55.74,-97.86,-12.68,85,68,11.79,broken clouds
66,nikolskoye,RU,59.70,30.79,24.69,98,100,2.86,overcast clouds
67,hay river,CA,60.82,-115.80,-20.22,63,0,11.5,clear sky
68,mataura,NZ,-46.19,168.86,73.47,66,100,6.82,overcast clouds
69,ushuaia,AR,-54.80,-68.30,51.42,81,75,37.98,light rain
70,talcahuano,CL,-36.72,-73.12,63.43,73,0,7.18,clear sky
71,klaksvik,FO,62.23,-6.59,32.92,88,100,7.16,light snow
72,hermanus,ZA,-34.42,19.23,69.91,84,24,2.26,few clouds
